doctor_id,doctor_name,department_id,specialization,hospital_id,experience_years,doctor_grade
1,Dr. Sai Sharma,4,General Medicine,8,9,Consultant
2,Dr. Raj Nair,12,ICU,7,10,Resident
3,Dr. Ishaan Khan,9,Emergency,6,16,Consultant
4,Dr. Sai Rao,7,Gastroenterology,7,7,Consultant
5,Dr. Priya Menon,2,Neurology,2,12,Senior Consultant
6,Dr. Vivaan Sharma,2,Neurology,7,8,Consultant
7,Dr. Aditya Iyer,1,Cardiology,3,8,Resident
8,Dr. Ishaan Sharma,11,Pediatrics,2,15,Senior Consultant
9,Dr. Meera Iyer,7,Gastroenterology,2,14,Consultant
10,Dr. Meera Menon,9,Emergency,2,14,Resident
11,Dr. Ishaan Chopra,1,Cardiology,1,16,Consultant
12,Dr. Priya Verma,12,ICU,8,10,Senior Consultant
13,Dr. Aarav Gupta,10,Endocrinology,1,13,Resident
14,Dr. Myra Das,3,Orthopedics,1,8,Senior Consultant
15,Dr. Raj Khan,3,Orthopedics,3,11,Consultant
16,Dr. Krishna Das,3,Orthopedics,6,9,Visiting Consultant
17,Dr. Sai Rao,4,General Medicine,8,10,Senior Consultant
18,Dr. Ira Patel,6,Nephrology,7,12,Consultant
19,Dr. Diya Joshi,5,Pulmonology,5,5,Consultant
20,Dr. Neha Verma,4,General Medicine,2,20,Resident
21,Dr. Vivaan Chopra,8,Oncology,7,4,Senior Consultant
22,Dr. Meera Patel,2,Neurology,2,3,Senior Consultant
23,Dr. Ira Rao,4,General Medicine,3,15,Resident
24,Dr. Meera Mehta,4,General Medicine,2,13,Resident
25,Dr. Neha Joshi,5,Pulmonology,1,13,Consultant
26,Dr. Priya Iyer,10,Endocrinology,8,13,Consultant
27,Dr. Aditya Reddy,3,Orthopedics,5,9,Consultant
28,Dr. Ishaan Mehta,6,Nephrology,4,5,Resident
29,Dr. Aditya Nair,7,Gastroenterology,2,10,Consultant
30,Dr. Sai Naidu,1,Cardiology,7,6,Senior Consultant
31,Dr. Raj Chopra,7,Gastroenterology,1,14,Resident
32,Dr. Diya Gupta,2,Neurology,4,9,Resident
33,Dr. Diya Joshi,1,Cardiology,5,5,Consultant
34,Dr. Krishna Verma,12,ICU,4,8,Resident
35,Dr. Aditya Gupta,12,ICU,1,12,Consultant
36,Dr. Meera Nair,10,Endocrinology,8,7,Resident
